sampleName	SMTS	SMTSD	group	NTRK1_ENST00000358660.3	NTRK1_ENST00000368196.3	NTRK1_ENST00000392302.2	NTRK1_ENST00000489021.2	NTRK1_ENST00000497019.2	NTRK1_ENST00000524377.1	NTRK1_ENST00000530298.1	NTRK1_ENST00000531606.1	NTRK1_ENST00000533630.1	NTRK1_ENST00000534682.1	NTRK2_ENST00000277120.3	NTRK2_ENST00000304053.6	NTRK2_ENST00000323115.4	NTRK2_ENST00000359847.3	NTRK2_ENST00000376208.1	NTRK2_ENST00000376213.1	NTRK2_ENST00000376214.1	NTRK2_ENST00000395866.2	NTRK2_ENST00000395882.1	NTRK3_ENST00000317501.3	NTRK3_ENST00000355254.2	NTRK3_ENST00000357724.2	NTRK3_ENST00000360948.2	NTRK3_ENST00000394480.2	NTRK3_ENST00000537300.2	NTRK3_ENST00000540489.2	NTRK3_ENST00000542733.2	NTRK3_ENST00000557856.1	NTRK3_ENST00000557897.1	NTRK3_ENST00000558306.1	NTRK3_ENST00000558576.1	NTRK3_ENST00000558676.1	NTRK3_ENST00000559067.1	NTRK3_ENST00000559188.1	NTRK3_ENST00000559680.1	NTRK3_ENST00000559764.2	NTRK3_ENST00000560017.1	NTRK3_ENST00000560201.1	NTRK3_ENST00000560739.1
GTEX-11ZU8-0011-R4a-SM-5BC6Y	GTEX-11ZU8-0011-R4a-SM-5BC6Y	Brain	Brain - Amygdala	Normal2	0	0	0	0	0	0	0	0	0	0	0	0.604071323668861	0	6.06716542701711	1.61823865559545	0.895302621333307	0	0.124328135002202	1.90689059560852	2.09423606984577	0	0	0	0.389566811762726	0	0	0	0	0	0.454175893185802	0.0976107966264223	0.111031312388744	0.124328135002202	0	0	0	0	1.43829285157915	0
GTEX-11ZVC-0011-R4a-SM-5BC6Z	GTEX-11ZVC-0011-R4a-SM-5BC6Z	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.0565835283663675	0	0.070389327891398	0.263034405833794	0.176322772640463	0	0	0	0	6.9692426044345	1.62760683812965	0	0.704871964456353	0	2.76553474636298	3.00180224263399	0	0.070389327891398	0	0.713695814843359	0	0	0	0	0.20163386116965	0.189033824390017	0	0.250961573533219	0	0	0	0	0	1.0496307677246	0
GTEX-12WSA-0011-R4a-SM-57WB7	GTEX-12WSA-0011-R4a-SM-57WB7	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.0565835283663675	0	0.0285691521967709	0	0	0	0	0	0	5.68985823631925	0.855989697308481	0.356143810225275	0	0.0426443374084937	1.60880924267552	2.57773093149008	0	0.0976107966264223	0	0.516015147003665	0	0	0	0	0	0.176322772640463	0.0840642647884745	0.0976107966264223	0.22650852980868	0	0	0	0	1.6507645591169	0
GTEX-12WSD-0011-R4b-SM-5LZUA	GTEX-12WSD-0011-R4b-SM-5LZUA	Brain	Brain - Amygdala	Normal2	0.176322772640463	0	0	0	0	0	0	0.214124805352847	0	0	0	0.7311832415722	0	7.36106648879432	1.58014548442338	1.06350294230616	0.321928094887362	0	3.64270157183323	3.94110631094643	0	0.53605290024021	0	1.20163386116965	0	0	0	0	0.22650852980868	0.7311832415722	0	0.124328135002202	0.464668267003444	0	0	0	0	1.78240856492737	0
GTEX-12WSF-0011-R4b-SM-5HL88	GTEX-12WSF-0011-R4b-SM-5HL88	Brain	Brain - Amygdala	Normal2	0	0	0.20163386116965	0	0	0	0.111031312388744	0.176322772640463	0	0.111031312388744	0	0.0285691521967709	0	6.02724253597374	1.40599235967584	0	0.584962500721156	0.0426443374084937	1.89141918684608	3.23266075679027	0	0.137503523749935	0	0.903038270112912	0	0	0	0	0	0.66902676550963	0.111031312388744	0.27500704749987	0	0	0	0	0	1.98185265328974	0
GTEX-12WSH-0011-R4a-SM-5GU6K	GTEX-12WSH-0011-R4a-SM-5GU6K	Brain	Brain - Amygdala	Normal2	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0.545968369105293	0	5.98436149044871	0.941106310946431	0.948600847493356	0	0.111031312388744	2.26903314645524	2.46988597627446	0	0.111031312388744	0	0.575312330687437	0	0	0	0	0.238786859587116	0	0	0.0840642647884745	0	0	0	0	0	1.38956681176273	0
GTEX-12ZZW-0011-R4a-SM-5DUX9	GTEX-12ZZW-0011-R4a-SM-5DUX9	Brain	Brain - Amygdala	Normal2	0	0	0	0	0	0	0	0.111031312388744	0	0.0840642647884745	0	0	0	6.87528859822269	2.01077983875324	0	1.02856915219677	0	3.39917109381982	3.17791779219584	0	0.321928094887362	0	0.782408564927373	0	0	0	0	0	0	0	0.238786859587116	0.16349873228288	0	0	0	0	1.89141918684608	0
GTEX-12ZZZ-0011-R4b-SM-5DUV7	GTEX-12ZZZ-0011-R4b-SM-5DUV7	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.124328135002202	0	0	0.16349873228288	0	0	0	0	0	4.31759350462347	0.604071323668861	0.495695162624069	0	0	0.704871964456353	2.55826763405574	0	0.189033824390017	0	0.66902676550963	0	0	0	0	0.20163386116965	0.6959938131099	0	0	0.137503523749935	0	0	0	0	1.04264433740849	0
GTEX-13112-0011-R4b-SM-5DUXL	GTEX-13112-0011-R4b-SM-5DUXL	Brain	Brain - Amygdala	Normal2	0	0	0.189033824390017	0	0.0565835283663675	0	0.0840642647884745	0.0840642647884745	0	0	0	0.286881147788162	0	5.93946167836279	1.30451104180995	0	1.02147972741045	0	2.38404980679516	2.86195536414487	0	0.176322772640463	0	0.948600847493356	0	0	0	0	0	0.411426245726465	0	0.298658315564515	0.150559676575381	0	0	0	0	2.18903382439002	0
GTEX-1313W-0011-R4b-SM-5KLZV	GTEX-1313W-0011-R4b-SM-5KLZV	Brain	Brain - Amygdala	Normal2	0	0	0	0	0	0.16349873228288	0	0	0	0.111031312388744	0	0.0143552929770701	0	6.86294724802092	2.07382023329167	1.01435529297707	1.26303440583379	0	3.45285896471381	3.48284828306847	0	0.356143810225275	0	1.19534759832222	2.01435529297707	0	0	0.344828496997441	0.189033824390017	0.855989697308481	0.0840642647884745	0	0.22650852980868	0	0	0	0	0	0.111031312388744
