gene	FL_1	FL_2	FL_3	GFP_1	GFP_2	GFP_3	T1_1	T1_2	T1_3
A1BG	252	223	273	253	221	207	196	215	232
A1BG-AS1	293	239	312	244	269	246	268	239	253
A1CF	0	0	0	2	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0
A3GALT2	1	0	8	2	1	2	0	3	0
A4GALT	1	7	3	6	2	5	2	3	5
A4GNT	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0
AAAS	1646	1504	1525	1337	1403	1373	1546	1452	1446
AACS	1461	1214	1457	1275	1365	1232	1369	1374	1516
AACSP1	0	0	0	0	0	1	0	0	0
AADAC	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	1	0	0
AADAT	516	431	477	465	482	377	504	469	472
AAED1	147	119	158	105	104	95	95	91	122
AAGAB	2712	2416	2706	2299	2402	2205	2445	2436	2616
AAK1	3109	2883	2825	2762	2739	2736	2976	3060	3389
AAMDC	540	502	646	450	639	477	542	522	607
AAMP	3810	3585	4010	3400	3569	3402	3351	3548	3777
AANAT	0	1	0	1	0	0	1	0	1
AAR2	1641	1462	1744	1443	1442	1401	1608	1533	1545
AARD	0	0	0	0	0	0	0	0	0
AARS	7393	6619	7787	6493	6779	6539	6807	6535	6955
AARS2	1482	1276	1509	1210	1228	1139	1285	1222	1294
AARSD1	0	1	2	0	0	0	0	1	1
AASDH	416	352	429	384	355	363	418	369	413
AASDHPPT	2626	2205	2486	2257	2110	1994	2437	2317	2689
AASS	1898	1699	1751	1702	1712	1532	1832	1729	1977
AATBC	0	0	0	2	0	0	1	1	0
AATF	2289	1942	2504	1981	2205	2041	2179	2313	2294
AATK	3	1	1	2	1	0	2	11	0
AATK-AS1	0	0	0	0	0	0	0	0	0
ABALON	6	0	0	0	0	4	2	2	0
ABAT	5893	5329	6079	5311	6022	5407	5694	5479	5854
ABCA1	944	800	856	894	1028	1119	813	925	785
ABCA10	0	0	0	0	1	0	0	2	0
ABCA11P	219	214	241	185	235	177	221	234	242
ABCA12	19	10	18	28	14	11	19	7	20
ABCA13	2	0	1	1	1	2	1	4	1
ABCA17P	2	0	2	0	1	0	1	2	1
ABCA2	3502	3339	3482	3029	3151	3103	3041	3131	3106
ABCA3	2988	2538	2977	2616	2475	2490	2690	2598	2637
ABCA4	0	1	0	0	0	0	1	0	0
ABCA5	70	48	38	84	53	54	60	47	75
ABCA6	0	0	0	0	0	0	0	0	0
ABCA7	343	310	323	350	273	284	279	243	239
ABCA8	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0
ABCB1	35	37	45	17	20	29	17	17	37
ABCB10	850	725	817	731	764	780	925	866	917
ABCB11	0	0	2	0	1	0	0	0	2
ABCB4	527	399	460	327	321	350	480	413	494
ABCB5	0	0	0	0	0	0	0	0	0
ABCB6	1310	1314	1343	1382	1279	1353	1189	1183	1262
ABCB7	1110	996	1205	937	1046	888	1045	1123	1179
ABCB8	1159	924	1111	1017	981	986	1048	1036	1068
ABCB9	493	394	531	409	331	338	414	408	410
ABCC1	2186	1847	2049	1916	1830	1934	1871	1963	1873
ABCC10	798	693	835	673	790	760	736	676	752
ABCC11	1	0	2	5	4	2	0	2	5
ABCC12	0	1	0	0	1	2	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0
ABCC2	4	0	4	2	11	4	3	1	6
ABCC3	6631	6650	6362	6319	6148	6348	6064	6120	6220
ABCC4	1306	1126	1262	1210	1147	1047	1153	1183	1155
ABCC5	641	650	635	631	633	666	652	619	620
ABCC5-AS1	0	0	0	0	0	0	0	0	0
ABCC6	3	7	1	7	7	2	3	8	8
ABCC6P1	0	3	1	2	4	0	1	1	7
ABCC6P2	18	9	22	22	20	23	13	5	30
ABCC8	0	1	0	1	0	0	0	1	0
ABCC9	0	0	0	0	0	0	0	0	0
ABCD1	629	483	596	501	539	562	396	460	507
ABCD2	66	36	54	64	37	53	54	62	73
ABCD3	3607	2945	3290	2905	2934	2827	3151	3106	3514
