gene	G14-1	G14-2	G14-3	448T-1	448T-2	448T-3	G179-1	G179-2	G179-3	559T-1	559T-2	559T-3
A1BG	11	21	30	93	111	134	74	75	79	51	41	36
A1BG-AS1	4	11	12	33	57	48	36	41	41	14	12	16
A1CF	1	0	0	2	3	1	1	1	2	2	0	1
A2M	31	32	37	282	1215	1352	262	464	755	14073	11698	8032
A2M-AS1	0	0	1	4	4	1	5	3	2	5	0	3
A2ML1	1	3	7	5	6	11	11	13	14	15	6	4
A2MP1	0	0	0	1	0	0	0	0	0	0	0	0
A3GALT2	0	4	3	5	6	9	0	0	1	1	3	2
A4GALT	19	36	63	3	3	0	76	94	88	0	0	0
A4GNT	0	0	0	1	2	0	1	1	7	1	1	0
AAAS	218	284	313	293	331	356	705	764	840	348	242	251
AACS	383	574	615	450	495	471	710	703	767	258	202	202
AACSP1	1	1	1	0	0	0	2	0	0	1	2	0
AADAC	0	0	0	0	0	1	4	2	3	0	0	0
AADACL2	0	0	0	0	0	0	1	0	0	0	0	0
AADACL2-AS1	0	1	0	1	0	0	0	4	3	0	0	1
AADACL3	0	0	0	0	0	0	1	2	2	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	2	3	4	2	1	2	0	0	0
AADAT	101	142	113	111	128	136	342	241	243	204	128	130
AAED1	67	101	90	75	75	119	316	262	246	50	55	58
AAGAB	260	439	410	312	300	315	1161	1067	885	572	402	434
AAK1	841	1006	1144	1117	1151	1126	2929	2510	2419	905	687	734
AAMDC	42	64	74	35	46	39	106	124	116	94	62	55
AAMP	603	847	977	687	711	823	1696	1830	2139	826	601	621
AANAT	0	4	2	1	0	0	4	0	1	0	0	0
AAR2	184	334	301	349	344	368	726	791	888	362	283	261
AARD	1	1	2	2	2	7	7	3	7	6	6	1
AARS	1225	1851	2343	1536	1913	1840	7577	8376	10294	1477	1032	1004
AARS2	310	421	468	179	196	180	574	511	543	368	258	293
AARSD1	9	9	13	5	7	7	16	28	40	4	10	9
AASDH	82	117	169	120	202	217	507	655	760	197	137	128
AASDHPPT	349	505	517	388	438	411	1424	1449	1452	643	423	458
AASS	776	1113	1183	860	1039	1059	1737	1737	1901	2013	1428	1106
AATF	604	939	779	440	375	451	1106	967	800	344	233	259
AATK	7	7	15	46	32	50	53	68	109	27	19	25
AATK-AS1	1	1	2	1	0	1	1	0	0	0	1	0
ABAT	101	197	306	2041	3239	3666	176	358	626	3188	2496	1510
ABCA1	93	151	229	802	1598	1864	1271	2583	3389	2109	1784	1028
ABCA10	4	8	10	10	21	21	27	34	32	8	10	14
ABCA11P	55	75	83	57	51	44	183	117	176	87	59	52
ABCA12	20	38	40	33	53	42	47	46	54	22	16	13
ABCA13	164	272	585	10	10	21	948	1589	3386	85	87	89
ABCA17P	2	4	7	4	5	6	13	11	22	5	2	5
ABCA2	591	826	1318	3646	5180	7015	2311	4548	8213	2875	2139	1981
ABCA3	1312	1983	2634	1252	1472	1603	1484	1884	2199	1609	1190	878
ABCA4	1	0	1	4	5	2	3	1	4	5	3	3
ABCA5	98	149	197	144	238	307	228	293	307	133	62	33
ABCA6	0	2	0	2	5	2	62	86	158	4	3	4
ABCA7	140	208	362	65	137	202	235	330	625	200	180	152
ABCA8	8	19	21	9	18	30	39	56	111	12	15	24
ABCA9	4	3	7	9	17	21	29	32	47	11	12	12
ABCB1	4	6	4	4	6	4	119	110	92	2	2	0
ABCB10	59	84	102	184	142	175	596	492	459	200	118	161
ABCB11	0	0	0	35	60	87	2	2	9	1	0	1
ABCB4	124	205	257	14	14	12	79	114	130	5	1	3
ABCB5	9	12	24	16	14	27	29	19	24	32	11	16
ABCB6	283	402	430	447	521	632	847	1005	1495	593	381	306
ABCB7	204	340	337	342	392	447	613	564	615	259	155	153
ABCB8	209	337	380	309	387	442	680	636	784	564	395	436
ABCB9	112	107	161	56	55	84	257	247	354	153	115	93
ABCC1	769	1285	1693	272	421	474	3478	4689	6078	646	461	581
ABCC10	189	276	335	155	235	293	422	531	624	321	225	229
ABCC11	1	1	0	3	2	6	0	5	4	1	2	1
ABCC12	0	0	0	2	0	2	0	3	0	0	0	0
ABCC13	1	1	2	1	2	5	1	1	1	3	1	1
ABCC2	7	12	6	12	14	6	36	37	45	2	1	1
ABCC3	522	873	1345	295	629	671	1969	3118	4419	285	217	331
ABCC4	192	285	256	224	140	171	1135	972	1267	201	115	148
ABCC5	176	267	342	386	456	504	608	676	846	435	273	262
ABCC5-AS1	0	0	0	0	1	0	0	0	0	0	0	0
ABCC6	4	7	10	4	2	9	36	53	120	4	9	8
ABCC6P1	1	1	0	3	10	9	4	9	14	1	1	0
ABCC6P2	2	1	4	3	6	1	9	5	14	1	3	0
ABCC8	8	13	13	25	30	74	8	14	24	1	0	0
ABCC9	56	99	106	109	125	148	222	201	203	148	112	93
ABCD1	100	175	260	401	453	570	496	480	606	228	164	212
ABCD2	0	0	0	7	29	23	11	11	18	48	19	30
ABCD3	430	624	699	1148	1312	1205	1912	1871	2208	1330	961	764
ABCD4	244	367	406	180	236	261	722	838	1052	603	467	394
ABCE1	1146	1744	1453	661	498	497	3692	2775	2096	768	567	578
ABCF1	870	1161	1190	644	680	643	2658	2481	2594	1334	859	878
ABCF2	758	1107	1117	756	719	761	2343	2000	1855	999	695	785
ABCF3	440	596	704	481	526	609	1192	1282	1514	483	328	378
ABCG1	1	1	1	56	123	231	0	2	1	11	4	6
ABCG2	9	10	17	5	1	3	63	68	41	27	24	19
ABCG4	3	9	5	2	5	3	21	20	21	9	8	8
ABCG5	0	0	0	0	2	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	1	0	0	0	1	0	0
ABHD1	1	2	1	4	5	5	18	27	35	3	5	4
ABHD10	101	142	140	307	352	361	698	638	650	390	237	245
ABHD11	229	359	360	211	162	169	633	542	456	174	133	131
ABHD12	383	622	827	685	642	713	1638	1668	1825	739	518	471
ABHD12B	4	2	3	2	0	2	2	7	9	5	3	3
ABHD13	65	108	129	122	165	144	456	420	426	187	142	120
ABHD14A	21	32	44	57	81	80	93	122	139	93	65	48
ABHD14A-ACY1	0	0	0	1	0	1	0	1	0	1	0	0
ABHD14B	117	176	236	120	133	133	684	761	878	146	109	123
ABHD15	166	237	328	67	77	82	368	328	325	186	112	136
ABHD16A	180	251	311	373	390	405	781	935	1142	535	390	364
ABHD16B	29	55	50	23	18	18	78	91	79	47	23	38
ABHD17A	236	370	430	676	766	912	570	666	787	518	333	356
ABHD17B	156	229	253	279	385	406	543	523	530	331	215	219
ABHD17C	54	104	106	113	185	170	129	101	128	355	227	219
ABHD2	1435	1793	1876	1573	1691	1654	3941	3502	3315	5176	3450	3029
ABHD3	125	135	155	157	135	123	284	221	186	163	94	64
ABHD4	179	263	338	341	492	559	1293	1903	2490	1209	905	764
ABHD5	203	290	285	320	323	298	571	483	493	340	211	199
ABHD6	96	146	176	156	198	236	225	246	364	273	203	139
ABHD8	162	187	284	149	203	254	318	352	450	183	140	134
ABI1	178	281	383	446	558	566	843	888	1067	283	217	194
ABI2	1464	2262	2264	2521	2423	2455	4608	4742	4465	3020	2036	1935
ABI3	0	0	0	0	0	0	2	0	1	0	0	0
ABI3BP	41	67	147	6	8	3	1347	1628	1889	0	2	5
ABL1	1306	1953	2213	2298	2260	2486	3130	3129	3195	2087	1559	1502
ABL2	1178	1864	1759	557	671	721	3490	3489	3805	743	561	682
ABLIM1	219	329	342	863	1371	1584	456	439	483	280	244	247
ABLIM2	2	1	2	22	20	28	11	2	4	35	34	28
ABLIM3	0	1	2	1	0	2	187	181	177	16	10	12
ABO	0	0	0	0	0	0	1	0	3	0	0	0
ABR	1208	1884	2432	671	633	740	2391	2412	2454	899	640	714
ABRA	0	0	1	0	2	0	0	1	2	0	0	0
ABRACL	139	209	233	48	45	52	469	422	354	115	73	95
ABT1	111	176	157	105	85	116	416	396	471	172	108	107
ABTB1	22	29	57	24	64	85	144	204	255	72	44	62
ABTB2	121	174	211	145	217	243	252	304	303	268	147	158
